title,link,pubDate,description,source
"Iran rejects pleas from US, Arabs to show restraint in response to assassination of Hamas leader - Fox News",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiswFBVV95cUxPdUxmdF9ROTlsSzVtRTN1YU5SRzNOUndpVFJfRU9jMDlyOHJjVDZYeFBxbFU0LVBTM0NoWU5KRDQ4Yk5UeUdKM0U0cnhHY0ZWODJuOTMyMjJsYlZnelZkd2VDM3BvekQyNWJEZ2FGZFViSVRhbExtaVBNRV9tRDJEQk5WbXpvSzVDR0lEZE8xUVVFSFpJT1RmeUlLN1RpREFxbi1vOXp2TU0zZ1JLRWZ0SEpza9IBuAFBVV95cUxNUEQydEdudm5kRGxKYlNyaU5NVWlBRUNRd3E4eW5fR1hDRnYwekNQbTdKektWSE0xbFo4RnFVdFJGQW1oZHZNM3NUYnRKckp2UWJoR3VZWVRZcXlJQmdXVEtzNzVEM2pmNFZaUlJCeE1QSkRuZ2Nzelh5YzNFQVM1QlcyUXRvaWxYaGFaczZhckZSTkxyWGRPY3FBSWtEU1FVLV9qblpXZ203VnFENmxPNkVhNHpwbDl0?oc%3D5&gae=cb-,2024-08-05 07:33:00+00:00,"Iran rejects pleas from US, Arabs to show restraint in response to assassination of Hamas leader",Fox News
UK's Starmer vows speedy punishment to quell violent protests - Reuters UK,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMimwFBVV95cUxPRE5JYng2Z1ZhTGdQS3VsLVVZaVJWem9xQlZ4eW41Mkl2U0x6aDIwck5YSXVEamlBQUZ1X3lvRHhuNDRuak41TGFnMWJqTk95Zmdock5ZbHlnc28wVERsanRMaEkxNW85Z0ZUWG1HWXlnRFF2ZXdrRm40RnN1blBOYV90bGt5aUhsS1lHbTVONlpieTFFeFJRaDlISQ?oc%3D5&gae=cb-,2024-08-05 14:31:00+00:00,UK's Starmer vows speedy punishment to quell violent protests,Reuters UK
Marc Fogel: Sister of US man excluded from prisoner swap felt 'betrayal' - BBC.com,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiWkFVX3lxTE5BYmR1cDJoNXBwQnVxRm9PcVZkaEhGX1pKN0wzM0hZQTNCSEZYRGliRWtNVXQ4MlBNenRTNDh4T09PdUg4YU9MaWFJejcyTDN3cmd0TXpza2daUdIBX0FVX3lxTE5BV0UyOFc0RmNrTU4wbDhxajNYbFZKTy0wSS1GLVJQc0cxeHdhUkFiWHItYlRZSEx4a3VPMFlHcHdJUmpWZ0FWS0taeTZYUUxWYVY5TWRJb0RRc2k5SEhv?oc%3D5&gae=cb-,2024-08-05 10:06:16+00:00,Marc Fogel: Sister of US man excluded from prisoner swap felt 'betrayal',BBC.com
Ukraine finally sends F-16s into the battle against Russia — but they might not be a game-changer - CNBC,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiggFBVV95cUxQRzlqaVNTaTYxWmRXS1dKNGVFQnRHZzljRHBoZ3FtOVd1ZjF5cnBXbV8xS25sWndJeUtFWWdpWndMTTZIVmR6M0ktb1NFVGNXZV9oN2NUOEwzVkxMM3BJeUVCa1F0WUh3UnBnUjZzRldsMnl6QUV6WXg3Q19lM000dkpn0gGHAUFVX3lxTE8zNDFocU4zeWF5a201RXZkZXBoRld0ZUlCdDk2cGptRmpiUGNFZm1NcXZmbzJaRkNReVFTc1dibUZ2TmZha3c5cVBrSEFTczF6T2lFOGxlZU5fZmVDTUI0c3lSZmt6cG5NU1BDd001SkxjNXY5ZThGbEplX0lrT1RQMGxhVG80RQ?oc%3D5&gae=cb-,2024-08-05 09:23:05+00:00,Ukraine finally sends F-16s into the battle against Russia — but they might not be a game-changer,CNBC
Live updates: Global stock markets plunge - CNN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigwFBVV95cUxPb2NuaGtPT2t2SWNveHJuY3M5a1FtVWwyNVpCZzI4a1VERUo2bjJ4eDVUckxBWWhEdEE0bU93bV9Ya25MdWlCOWhsbEtEVGtXQlRBME0zRGxEVTdTeTF2dms1YTFhOF85NmhueGVOUU5ScE5pczZ5Vjk3bjFWOVFrdjY0aw?oc%3D5&gae=cb-,2024-08-05 14:27:00+00:00,Live updates: Global stock markets plunge,CNN
"Dow drops 1,000 points, and Japanese stocks suffer worst crash since 1987 on U.S. economy worries - Yahoo Finance",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigwFBVV95cUxOV09Bc1k1NkpJN0xwWXdjLXZjcGN2Ny15XzhqbGpYdko2VkNtMFJlNXd4bGxkOW83Q2FGMnZKaEhFUE5TRUx0by1QSkRvcHdpYm8zOVlSR1hBcEJNQmFGamVxYnFZRm5UeWpSNFJONXN2cnZJM1NGQzhocGRnWkppRnppUQ?oc%3D5&gae=cb-,2024-08-05 14:56:47+00:00,"Dow drops 1,000 points, and Japanese stocks suffer worst crash since 1987 on U.S. economy worries",Yahoo Finance
Powell faces a mutiny on Wall Street if he doesn’t make a September rate cut - Fortune,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMif0FVX3lxTFBGS19yTFZ3THhBVUx6VEZQUC00dHZsZllYY25GbS1FNThVZmpaLXBLdVh2dlZJNHJRVmt5RjhEc00xbF9FSHBMSDhxWVN4aDhTR0Y5bHhVU3FDVW1ZMFZoLVY1Ym91Q2tzVHdRLVhlVWt1RVBRTzQ5cTBjRm1OTWc?oc%3D5&gae=cb-,2024-08-05 11:19:00+00:00,Powell faces a mutiny on Wall Street if he doesn’t make a September rate cut,Fortune
Traders Wonder if the Fed Could Make an Emergency Rate Cut as Markets Tumble - The New York Times,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMif0FVX3lxTE1OY3FQckRJWmZqeURBeG9xQkxVY2l6ODZ5TldMcEsyMm0wX2Zmb05WY3NCTWd5ck94QmZUZTAxeW9IcXFXeUJHSXBLd0Eyalp4OHB5UEpHYTR0cVFYRXhpLTM4YlZ6YlNmbU1vOFFrYjhpYnM2UUU4d0FwUFhzZm8?oc%3D5&gae=cb-,2024-08-05 15:04:03+00:00,Traders Wonder if the Fed Could Make an Emergency Rate Cut as Markets Tumble,The New York Times
Watch: 5 things you need to do before your next trip - USA TODAY,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMioAFBVV95cUxQeFpxZlZWeFp6bmQ3ZWQ4Z1N4TmxMZGd1dlZhWjBmMWdQMVlqTmozektvQ2l6X1B6akswVUhvTTQwb0RsZS1UX0ROQl8wakFHQXVTQXpzSzlEMnpKMktXNy1hU09uQmZSRUhoNXNRamEwMHo5Z0ZZN3ZCZDl3TktPT3U1aGNGWEFNVWctR1pjNnd4aDZtTnRXZDFuRzhwdlY1?oc%3D5&gae=cb-,2024-08-05 11:13:43+00:00,Watch: 5 things you need to do before your next trip,USA TODAY
Check out the Google Pixel 9 Pro Fold flaunting its official case in the wild - Android Central,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMitgFBVV95cUxOamxmUGRnR2o2czBUMXhUUnppYjJYUDJJMHZKUlpELUpzUVI3dzlkb0ZmeHd3eU5McUpMeVY2SncxcE5icmlyMGRTZGN3clNpUHdPVncxc3F0UGV3eW84YmJoYjUxQU9fRjBET0NESXNLTEM4VHR3WE1zTlNDT2xzeDU5SmlJRG5ZZ2FrU19DNkE0YXUwZm1qVExiMDM4dThMdWQzUnFKSk5jYWtKeWxhSjdoRGQwZw?oc%3D5&gae=cb-,2024-08-04 23:40:24+00:00,Check out the Google Pixel 9 Pro Fold flaunting its official case in the wild,Android Central
"Gurman: M4 MacBook Pro, Mac Mini, and iMac Coming This Year - MacRumors",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMie0FVX3lxTFBHVGMxZm5Va1djbzJ0N3l6QlR0eURIM3d3N01qcWtfdHBmZ2NPYVpNQTBxU0prbFhJZ29FUkdpTk50dlFHWG9uSnRXekREMlhWYTh4X0xWczQ4NlRqRDJObGpSM2llQmRMX1NLZzJUZE10c2JhX21tTXl1QQ?oc%3D5&gae=cb-,2024-08-05 09:29:16+00:00,"Gurman: M4 MacBook Pro, Mac Mini, and iMac Coming This Year",MacRumors
Galaxy AI will come to select 2024 Galaxy A phones - SamMobile - Samsung news,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMieEFVX3lxTE1yc29iclJCbkExMnJ0ZU9QVENkV2NJLUJIbHhVV2dzWV9uSmktQmx4dktCLVZMN1ZGdDhIUThsR2xTcTZOMDNwRGMyMVRzU1FwXzZvRzJhQzlLdlhFT3N2Q1J6Q19CM3dPVXZRX3otMFZIaFFwVm9VYQ?oc%3D5&gae=cb-,2024-08-05 12:07:00+00:00,Galaxy AI will come to select 2024 Galaxy A phones,SamMobile - Samsung news
"'House of the Dragon' Season 2 finale: Oh crap, Ser Simon Strong finally called Mum - Mashable",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiiAFBVV95cUxQZzEyNTFqVi1rYk1UTnFJUUF0RlNlZTJPUmlqN2t2V050ODl3OFBYX09QS3VpM3FXR1ZrS1hCaW9CMkN4b1hzSnREUHpxOXRRMk01MXFIQnJIZ0tmSGdxT0t1S3Z0Tk5aZkR5RHVsRWtZU2plandCdzg2eERacHY1cFNwak5hUzJ5?oc%3D5&gae=cb-,2024-08-05 05:00:00+00:00,"'House of the Dragon' Season 2 finale: Oh crap, Ser Simon Strong finally called Mum",Mashable
Zac Efron Hospitalized Following Pool Incident in Spain - Entertainment Tonight,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMikAFBVV95cUxOSG11ZDUtWmh3MjNoOW5tQmRQQ2tldURkT19XVTZFWXEyV0lkalY3dkF0S0VPQVlTZV9xbm9SbnNRWjBrNjhRWDNYazlXcjJPRVhFdy1IVFBibm1pdmJIY29peGFBdVB3MVotQjUwVzNxTXA3UFNpQkgzOXhKMzl1aVJ4RzJkd2t0TmwwdFItTl_SAZYBQVVfeXFMTW0yZWNMLWJGcDFoWi1YYjZoWkxrME5SRW54c3d4UjVQOWc2NWZ1NzM0dzAwWmtRM1FYU21MS1BKajNFT0ttdEcwX0JVNldzTFBMNzhhakUzdXhmckh3bG82TDFCNWpwUjlLcmF5bWpSSjVtbzhySHppczZvcURlY1EtVnd4d1I1RElqR18tVTRibl8yaU13?oc%3D5&gae=cb-,2024-08-03 20:46:00+00:00,Zac Efron Hospitalized Following Pool Incident in Spain,Entertainment Tonight
"Deadpool & Wolverine Grosses $824M Globally, Disney Hits $3B Milestone: Report - Yahoo Finance",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMijwFBVV95cUxOYWVCTmEzRzk2eUtHalMyWC1qMDRaV3FWajFfZTBTMWhWZDVOZ0p6SFY1M19Ed3lFSzYwYzBRbzZaOFQ2RDlxcWlGWkk5N3EzZGptOVJlZVpPdnUyRzFXOUN0X1dCM1IwVTBVeWpqQUxwTkx1cTFkdmFranB0NXNYd2hBcVFkTVk1RVNpSHllSQ?oc%3D5&gae=cb-,2024-08-05 11:29:16+00:00,"Deadpool & Wolverine Grosses $824M Globally, Disney Hits $3B Milestone: Report",Yahoo Finance
Zombie Bands Attack! These Touring Groups Don’t Have a Single Original Member - Rolling Stone,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMitAFBVV95cUxQektnUEF4RFpGRlJ3R3pZalFZWkc2NVREQ0JyVWFjaHY4cDM5MmdHY0NUTTJnYTJlWmpXNEVULXhqQml3Y0QyaWhadW5ZUVNGOUJVbjUzdVVWcVJTcjJBZXdqa1V6M0pQODRrckJsR1FMV1hLZmZhNWROUU9oaDJ1ZVhHMWJLblRkemNtRVBrSElxYnNVenI4RzZoUHVfdkJCSWp2TUNIYUlabFpHQjBXZTNLSkc?oc%3D5&gae=cb-,2024-08-05 13:23:32+00:00,Zombie Bands Attack! These Touring Groups Don’t Have a Single Original Member,Rolling Stone
The latest on the Paris Olympics - CNN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigwFBVV95cUxPM2IxeU1tLVZERjBzVmVmUllQd2gtSGktRU96b01DM3c0Rzh6Z3VsNS1PMWJrZmd5TjFhNTFMc2ttbUJWMTdQS0RiNFdSbmRHYnJvQ1IyNEZlWnBJaEw2WU5CeVpHNWg3YUQ0UlBRQzl4OGhIUG9GOXNCRDQ0dDRsNEVKUQ?oc%3D5&gae=cb-,2024-08-05 13:35:00+00:00,The latest on the Paris Olympics,CNN
NBC's Diffey on botched Lyles call: 'Got it wrong' - ESPN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMisAFBVV95cUxPcEFtaVBxWWtUYTVfaGI1d1FzRlBHZ0tYV0hxdHU1bXBwR2dtZHJlWloyTFF3Uzd0OG0wWDBsRFFXTS10eWdoU3lGZ0llWWwzUWtQcHVLa2llckFJdXRVX3FDMTZaSW5oeXR2UzJfWGxqQzFnWEs1NGo5UGJfT0FlNkVPRGlyUEFUYW4zbmRRNVY3STBSTlVSdmtMdjZGUG43ajlTM0VhQW5UZTRXb3Q1TQ?oc%3D5&gae=cb-,2024-08-05 14:08:00+00:00,NBC's Diffey on botched Lyles call: 'Got it wrong',ESPN
"Skull Session: Penalties Near in Michigan’s Sign-Stealing Scandal, Oregon Calls Itself “That Team Out West - Eleven Warriors",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMihwJBVV95cUxOd1owM1JRazRuUjdUNERGeVdmbzJQQ1hyT1RWMUhmYVEwWHp2Ml9wd05jVXlPX1J0cFFIZ0xRQjhPdTFtbV9wam5wZFQxdjRrTnBqckZ0YlpLbjkwaFZwV2ZiQWN2MldBYTlhSXNQZjZVTGZ0OGdiVWxObjJuU21qZFp4ZnVCUjFKcTllYjdPN2lLMmJVSFhEYTFHVTAyNkZrdEJMWWtONk9paklEMGdyRXNncG5BNjJqcUUwQ3gyZFhQWXlvM01CTjJKRFVVTU1wZnlwckVpTVF4N0lQSU1kenhhZGoyTkZYaE4wUW9sT01CUENfMHU0OU81V3FCdkNOTU02cmpyMNIBjAJBVV95cUxPNTdWZ1oyemJ3NExqRGtBZEQ2NmFaTzdjQ1hfNk1kcWkyU1FuQkVUVWZkYnY4bUlWN210aG1uajFTQ3pqNV9hcjhod0tNRmF1cTFwdmdfbnFGRnoyS29YUnluOXN0b0JieWVaY3NXaF9Vc0pSWVhBRTBkQ2xPeFpXVl9tT1ppdS13QVhMdDIxa3RhbnUxaHhJeHBlNzMzbzJyNVJMOGljbHFzb3I4a0ZJMzFoTVpLTFhLbk1haUgzalhLeGhBT2JSMklUSGxMSTU5cFplMUlQbEZ1eEY4blo0WDlOMDcwRzVfWHh3NUlJOGZ5ZXV5eVp5ZW55M3BkbmwyUlFmZERPTnFmNE92?oc%3D5&gae=cb-,2024-08-05 09:00:00+00:00,"Skull Session: Penalties Near in Michigan’s Sign-Stealing Scandal, Oregon Calls Itself “That Team Out West",Eleven Warriors
Where Team USA sits in 2024 Olympics medal count at end of Day 9 - NBC Philadelphia,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMisgFBVV95cUxONHFHb1NEaURmdUtGQmxham5xUzZZSkM1RWw2R2hKMjFrbEdtS3BCYVhETWxfTGZQWEFIS1psN3Y2Q3pNSnh3Ri1PYWFpd1d2UUdkTFgtRU92c1ZfUUtybzJONTVuZFFad2hFZUZqZ3dSOG9Bd2RkR3ZZcjEtTnUyS3k5RjJQT0NJaXNxZHZHQk5RenFRUnlNX1pNMDJuUU15UFQzQllsVFIyazhvUlZ3VlZ30gG6AUFVX3lxTE51SENhS1JPRjg3cG4yakpBQ1lPcF9Pc2xmZlpfS0x4YXRMenUyRkJxaUxUaTV5WlRlNDBQdGxIRFZXM0d6Wi1aWGdKTVZtNHp6WlN5NkpfWnRZSzItd3FsZmNmYXlNRTY5S2R3b3hrV1g5Q1Z5LW9ILXF0Sm1RaGFZM1lCUE1oZDRkRWxiQ0lhN1Z5NHVnR0dETEFvSzZHanBucVFickExVkRrTnNFRkl1dnFvSVBlQ0RyZw?oc%3D5&gae=cb-,2024-08-05 03:51:59+00:00,Where Team USA sits in 2024 Olympics medal count at end of Day 9,NBC Philadelphia
Can the Higgs Boson Shine on Broadway? - The New York Times,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMidkFVX3lxTE5oZVJ6T280anRvNVJ3XzM0NzVmSW45RzBLTjFLTEg1QXA2Y0JyY1FPRWpHUHFFMW5YVFZhUGdBMkM2S1dWbEZkcTBGaXotcHdkVjZvSXhHcDRJUmZZRk9YY1FCaEE1N1JLQ2VscUZBclpGMElhYnc?oc%3D5&gae=cb-,2024-08-05 13:14:28+00:00,Can the Higgs Boson Shine on Broadway?,The New York Times
NASA May Be Forced to Send Boeing's Busted Spacecraft Back Empty - Futurism,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMif0FVX3lxTE54cnV4d25IRk1hYU02elFEU1EtcGxPMGxfTU9iNjFCYVZsSU5ibkNDdW96ZXFCYWFnb3pnNjRJOEp3TUxXX0J4U0ZEN2NKOFNwUHBmMEVmRlVUYjJmMDJmSWE1UWl5MjN4SWxXcXlMc3Fwa1RPaHdrMHdQUVV5NXc?oc%3D5&gae=cb-,2024-08-05 14:01:08+00:00,NASA May Be Forced to Send Boeing's Busted Spacecraft Back Empty,Futurism
Cygnus spacecraft suffers glitches after launch - SpaceNews,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiekFVX3lxTE5oYjhGLVhIUUdhS0Fpek44MXBfUHYtTjZFa2FBLURCV2pFNFFaRk1vTC1XTlV0NXJtbzByS2tmM1RUMmxEeUI1V2NyUkgySnlFV1dRb0lQQURaal8zVzk3TFFrVXF1YU14NFNQdDhtWUFvN19zYVRxcWFn?oc%3D5&gae=cb-,2024-08-04 21:23:12+00:00,Cygnus spacecraft suffers glitches after launch,SpaceNews
It’s Lights Out at a Cosmic Restaurant - The New York Times,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiigFBVV95cUxOLU9DSUJuODRUWmJTeFVSVHNnbGJzR0dmQTFFRTlVTUkxbUN0TnlPM0p2MTdybTFfLVhjLXBQbzVYdFVVRHhlbU54SlhSWndyaV9maVdNRUJDcndRdVlNRjBjMTltRmJmTGhCRDdubzFTVTk5YmJmQUdwOTBrVnhHXzJNTlAyV1dBN2c?oc%3D5&gae=cb-,2024-08-04 09:00:41+00:00,It’s Lights Out at a Cosmic Restaurant,The New York Times
