title,link,pubDate,description,source,sentiment
Trump possibly returning to office played key role in Russian prisoner swap: WSJ - Fox News,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMipgFBVV95cUxNV0RnWERTQkxyazlvVTNJQjJkV3VFeC15T0xBa3dJaWtJSVY2M3pUMDNCYm53OGNFWWRBOFowaFJoUWlOS3UteUd4cFpCN3NLNjN0UmJFOUR5NVVHMnhjREtIVTNTREh2UE5SZWdtbGphVjQ3bVNIaFlTWWl6REozdDlpbmpTdGVuci1lVFdwcmdTaDFMZzYxTUhLZDlwWmRvNHZSaUhB0gGrAUFVX3lxTFA0b3FJaTBwX3l1TmM4TWpXUXhOVG9icHcxUnB3MkU3VWxVZXYwYlFYbzZQY0lwaUNTZGJubmJXX01oTmprcmFQR2dzc3lSV256REZfSXJ0MXYtTFRFV1lJaDRpaFJDQUJJajFOcnhqVzgwckdmV2tRbDNJSzRSQ1lWOG5HOUNKR3V1V1Rsel9FZ0ZybzVNR2l1d096SUJjeFVzaDJ5Qjk5bmxLcw?oc%3D5&gae=cb-,2024-08-05 14:30:00+00:00,Trump possibly returning to office played key role in Russian prisoner swap: WSJ,Fox News,1
"Blinken warns G7 that Iran, Hezbollah could attack Israel as soon as Monday - New York Post ",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMitwFBVV95cUxPZXdkc1ZjX0ZVLVdOZXB0d0lTM2pUY3FNc3FKeTJMSmR6Z0VRNmx6YlpsWUdiblpqUjlLQWRnMlJiUHl3XzNiekhCTXk2LXJBZElMbU9faVN2WUFLdEZmczl4bW8tNDFvdHhXM0gwWTJTbHpCdkdWN01hNnVyS01XOG9rUzNNZ2J5Q19QLXMwVmhack9aLTgwck4xeEFQX3NyWnNhTU53VDZZT3J1VkpUcTJ3ZjZ6V0U?oc%3D5&gae=cb-,2024-08-05 12:54:03+00:00,"Blinken warns G7 that Iran, Hezbollah could attack Israel as soon as Monday",New York Post ,1
Ukraine finally sends F-16s into the battle against Russia — but they might not be a game-changer - CNBC,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiggFBVV95cUxQRzlqaVNTaTYxWmRXS1dKNGVFQnRHZzljRHBoZ3FtOVd1ZjF5cnBXbV8xS25sWndJeUtFWWdpWndMTTZIVmR6M0ktb1NFVGNXZV9oN2NUOEwzVkxMM3BJeUVCa1F0WUh3UnBnUjZzRldsMnl6QUV6WXg3Q19lM000dkpn0gGHAUFVX3lxTE8zNDFocU4zeWF5a201RXZkZXBoRld0ZUlCdDk2cGptRmpiUGNFZm1NcXZmbzJaRkNReVFTc1dibUZ2TmZha3c5cVBrSEFTczF6T2lFOGxlZU5fZmVDTUI0c3lSZmt6cG5NU1BDd001SkxjNXY5ZThGbEplX0lrT1RQMGxhVG80RQ?oc%3D5&gae=cb-,2024-08-05 09:23:05+00:00,Ukraine finally sends F-16s into the battle against Russia — but they might not be a game-changer,CNBC,3
"Israeli strikes hit Gaza schools, hospital compound after talks fail - Reuters.com",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMixwFBVV95cUxQTUhvMjkzMmM4cVFhemdmcGc2SHRGRGttQkRCMUVpcDZtV1Q1RmRlTDhRVHJwU0VybWtkUTBxWjZmaXFQRTNhQTF3MHl6Wk5Rd1NNcndqb1NUT3FFTGlCQkVoaGxWYkxJM2pNRm1DeGxoNkc3M25aVzZkaF9LUDVQeUZhZWw3NmpYa094SEZWZDRHR0dwRWRHYzM5R2hqa0ZkWlhSZ3dtN0M2Z2xvdURvZEJmSGJSemgtaEhQc3hHNmJVb0pTQ09n?oc%3D5&gae=cb-,2024-08-04 22:37:00+00:00,"Israeli strikes hit Gaza schools, hospital compound after talks fail",Reuters.com,1
Live updates: Global stock markets plunge - CNN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigwFBVV95cUxPb2NuaGtPT2t2SWNveHJuY3M5a1FtVWwyNVpCZzI4a1VERUo2bjJ4eDVUckxBWWhEdEE0bU93bV9Ya25MdWlCOWhsbEtEVGtXQlRBME0zRGxEVTdTeTF2dms1YTFhOF85NmhueGVOUU5ScE5pczZ5Vjk3bjFWOVFrdjY0aw?oc%3D5&gae=cb-,2024-08-05 14:27:00+00:00,Live updates: Global stock markets plunge,CNN,1
10-year Treasury yield drops to lowest level in more than a year as recession fears grow - CNBC,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMihgFBVV95cUxPTTNUNnZNd3lnWl9vTDVsbklFSFZQcXNaNGJ2bTMyN1BBNDhIOE9vVWt5aUMwVldBZmJLdC1wVWpLY0RETm5wZXlxbjk5M2RJOHNtc2VjNllqRERXM0FfWHNYZ0VHRUpxRUVhUVBSWHM5NkVHYm5ldEg2cGhQUlZJdThWNW0tZ9IBiwFBVV95cUxNTmY0cWlsRnFVeDRvNUNXUXF6QkJfM2lOMmgxbkhUaG5SbG54UGRqc3k2Qm9RNl9MZXgwMGZISm1VdU4xSWN3VER2OHdUNDR1ck5hRGpaOGFuREFMdFZBejRmZUZrYllZUVZydXNubHY0WTQtOVR3bTl1SzZWUkI5OW1GMWc3aGI5YUlN?oc%3D5&gae=cb-,2024-08-05 06:49:46+00:00,10-year Treasury yield drops to lowest level in more than a year as recession fears grow,CNBC,1
Powell faces a mutiny on Wall Street if he doesn’t make a September rate cut - Fortune,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMif0FVX3lxTFBGS19yTFZ3THhBVUx6VEZQUC00dHZsZllYY25GbS1FNThVZmpaLXBLdVh2dlZJNHJRVmt5RjhEc00xbF9FSHBMSDhxWVN4aDhTR0Y5bHhVU3FDVW1ZMFZoLVY1Ym91Q2tzVHdRLVhlVWt1RVBRTzQ5cTBjRm1OTWc?oc%3D5&gae=cb-,2024-08-05 11:19:00+00:00,Powell faces a mutiny on Wall Street if he doesn’t make a September rate cut,Fortune,1
Elon Musk Says Warren Buffett Is 'Clearly Expecting A Correction' After Berkshire Sold Nearly Half Of Its Apple Stock - Yahoo Finance,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigAFBVV95cUxPa0Via2R1MzlEdl9QazU3RVhJNmVpZW5UVlE2SjVJYTI4a3Jlb1VpNmdPYzJiR2hPdmxaS2NZdlJwRWJYVk5XRHl0YnoxRmVEaWNvMmdFT08xSFpSZkl5R2xwd1pwZHhYX25YWU5hSGRyc2NZYlVuVXdXQnRrVHpuSw?oc%3D5&gae=cb-,2024-08-05 13:15:21+00:00,Elon Musk Says Warren Buffett Is 'Clearly Expecting A Correction' After Berkshire Sold Nearly Half Of Its Apple Stock,Yahoo Finance,1
Google finally making a native Weather app with Pixel 9 - 9to5Google,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiZEFVX3lxTE5YV25SYjI3TXJna0xpSFdha2R4VHZ4SGY4MFI0Q3VmanZseWVicmxPVjEtelUySjJZbnVKajVrVW5XT25JYW0xUkhtb1JlSFFEdXdtX2gzVjBzRVcxbWlrbFNucm8?oc%3D5&gae=cb-,2024-08-05 14:54:00+00:00,Google finally making a native Weather app with Pixel 9,9to5Google,5
Watch: 5 things you need to do before your next trip - USA TODAY,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMioAFBVV95cUxQeFpxZlZWeFp6bmQ3ZWQ4Z1N4TmxMZGd1dlZhWjBmMWdQMVlqTmozektvQ2l6X1B6akswVUhvTTQwb0RsZS1UX0ROQl8wakFHQXVTQXpzSzlEMnpKMktXNy1hU09uQmZSRUhoNXNRamEwMHo5Z0ZZN3ZCZDl3TktPT3U1aGNGWEFNVWctR1pjNnd4aDZtTnRXZDFuRzhwdlY1?oc%3D5&gae=cb-,2024-08-05 11:13:43+00:00,Watch: 5 things you need to do before your next trip,USA TODAY,5
Tipster says Samsung won’t release One UI 7.0 beta in the near future - SamMobile - Samsung news,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiogFBVV95cUxQbGlPbDE2eW1OV3NqMmJBa19rOFd2bzN2MDE1UENEc09XVkw1azl4ZHNueENGQW5BTGh5cDJjVVdXSnVFcDR5WWFQQTYzZnRBN1FtNGJ2d2dXS0cwUmVDZFZMdF9YVGN5R2c3R0J6MDRaWWJVXzVZa0piQ1lVZkRZaGhzUG5MbXhkOGthUHlIVk82NVcwNmZ5bW9ldWdKWDU3a1E?oc%3D5&gae=cb-,2024-08-05 10:09:00+00:00,Tipster says Samsung won’t release One UI 7.0 beta in the near future,SamMobile - Samsung news,1
Check out the Google Pixel 9 Pro Fold flaunting its official case in the wild - Android Central,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMitgFBVV95cUxOamxmUGRnR2o2czBUMXhUUnppYjJYUDJJMHZKUlpELUpzUVI3dzlkb0ZmeHd3eU5McUpMeVY2SncxcE5icmlyMGRTZGN3clNpUHdPVncxc3F0UGV3eW84YmJoYjUxQU9fRjBET0NESXNLTEM4VHR3WE1zTlNDT2xzeDU5SmlJRG5ZZ2FrU19DNkE0YXUwZm1qVExiMDM4dThMdWQzUnFKSk5jYWtKeWxhSjdoRGQwZw?oc%3D5&gae=cb-,2024-08-04 23:40:24+00:00,Check out the Google Pixel 9 Pro Fold flaunting its official case in the wild,Android Central,5
"'House of the Dragon' Season 2 finale: Oh crap, Ser Simon Strong finally called Mum - Mashable",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiiAFBVV95cUxQZzEyNTFqVi1rYk1UTnFJUUF0RlNlZTJPUmlqN2t2V050ODl3OFBYX09QS3VpM3FXR1ZrS1hCaW9CMkN4b1hzSnREUHpxOXRRMk01MXFIQnJIZ0tmSGdxT0t1S3Z0Tk5aZkR5RHVsRWtZU2plandCdzg2eERacHY1cFNwak5hUzJ5?oc%3D5&gae=cb-,2024-08-05 05:00:00+00:00,"'House of the Dragon' Season 2 finale: Oh crap, Ser Simon Strong finally called Mum",Mashable,1
Zac Efron Hospitalized Following Pool Incident in Spain - Entertainment Tonight,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMikAFBVV95cUxOSG11ZDUtWmh3MjNoOW5tQmRQQ2tldURkT19XVTZFWXEyV0lkalY3dkF0S0VPQVlTZV9xbm9SbnNRWjBrNjhRWDNYazlXcjJPRVhFdy1IVFBibm1pdmJIY29peGFBdVB3MVotQjUwVzNxTXA3UFNpQkgzOXhKMzl1aVJ4RzJkd2t0TmwwdFItTl_SAZYBQVVfeXFMTW0yZWNMLWJGcDFoWi1YYjZoWkxrME5SRW54c3d4UjVQOWc2NWZ1NzM0dzAwWmtRM1FYU21MS1BKajNFT0ttdEcwX0JVNldzTFBMNzhhakUzdXhmckh3bG82TDFCNWpwUjlLcmF5bWpSSjVtbzhySHppczZvcURlY1EtVnd4d1I1RElqR18tVTRibl8yaU13?oc%3D5&gae=cb-,2024-08-03 20:46:00+00:00,Zac Efron Hospitalized Following Pool Incident in Spain,Entertainment Tonight,1
"Meghan, Duchess of Sussex, says speaking out about suicidal thoughts is part of ‘healing process’ - CNN",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMilgFBVV95cUxPZkVJUDN2bjdaYldGYlJQQThMdDgwUnZPdWFkenRDdEw1LTRRNlh5bVAtZzJmOFNHUm82YjdxaUMta1NsenZBU01WdmZiV3I1QnVkc2d0M2ZpcXAyXzNMNWVBOXBhSlBZOU5hUlRTcklRT2xkek14aTNjeGV2MWxXV0RPbVVOQnJXSGFsTlNLSnk2Sm95Z3fSAYwBQVVfeXFMUFJHWnFIQWJRNW1zdmpfb25fUDd4a3JWRlRmRTMtTHJPR242RkJLZk5lM2hKWkxaV2tMWEt4bjg4LVBSWGNwd3dSWlRtZDhZSlhjNk4tNGZ6ZW56c3p3UHVHQVB0SEdIUnBwa3ZtYnR2cks2MHNLcUdoU29KVDU0UG5JS0VneU1ndjU4N0w?oc%3D5&gae=cb-,2024-08-05 11:00:00+00:00,"Meghan, Duchess of Sussex, says speaking out about suicidal thoughts is part of ‘healing process’",CNN,4
"Deadpool & Wolverine Grosses $824M Globally, Disney Hits $3B Milestone: Report - Yahoo Finance",https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMijwFBVV95cUxOYWVCTmEzRzk2eUtHalMyWC1qMDRaV3FWajFfZTBTMWhWZDVOZ0p6SFY1M19Ed3lFSzYwYzBRbzZaOFQ2RDlxcWlGWkk5N3EzZGptOVJlZVpPdnUyRzFXOUN0X1dCM1IwVTBVeWpqQUxwTkx1cTFkdmFranB0NXNYd2hBcVFkTVk1RVNpSHllSQ?oc%3D5&gae=cb-,2024-08-05 11:29:16+00:00,"Deadpool & Wolverine Grosses $824M Globally, Disney Hits $3B Milestone: Report",Yahoo Finance,1
The latest on the Paris Olympics - CNN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMigwFBVV95cUxPM2IxeU1tLVZERjBzVmVmUllQd2gtSGktRU96b01DM3c0Rzh6Z3VsNS1PMWJrZmd5TjFhNTFMc2ttbUJWMTdQS0RiNFdSbmRHYnJvQ1IyNEZlWnBJaEw2WU5CeVpHNWg3YUQ0UlBRQzl4OGhIUG9GOXNCRDQ0dDRsNEVKUQ?oc%3D5&gae=cb-,2024-08-05 13:35:00+00:00,The latest on the Paris Olympics,CNN,5
NBC's Diffey on botched Lyles call: 'Got it wrong' - ESPN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMisAFBVV95cUxPcEFtaVBxWWtUYTVfaGI1d1FzRlBHZ0tYV0hxdHU1bXBwR2dtZHJlWloyTFF3Uzd0OG0wWDBsRFFXTS10eWdoU3lGZ0llWWwzUWtQcHVLa2llckFJdXRVX3FDMTZaSW5oeXR2UzJfWGxqQzFnWEs1NGo5UGJfT0FlNkVPRGlyUEFUYW4zbmRRNVY3STBSTlVSdmtMdjZGUG43ajlTM0VhQW5UZTRXb3Q1TQ?oc%3D5&gae=cb-,2024-08-05 14:08:00+00:00,NBC's Diffey on botched Lyles call: 'Got it wrong',ESPN,1
Four questions ahead of U.S. men's basketball quarterfinal vs. Brazil - NBC Olympics,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMimwFBVV95cUxOMm1ESnUtcFduTnljRzB0TFpGdFJjcngwSldrQlA1OTM3cjFUeE1taDlJU2dvZFB3RDQ0Qy1UdVN3bk9UanV0RG04NkpBYVgxRFY4SUpmZGJDZTVhcW81QXp6UHRKWWc4b3BVWTVBUjFiYXdjWkxXM1A2cnNjMXJHNjgwOHNnNzBSUTJnTlRVVVA5ekh5dmttS3pyUQ?oc%3D5&gae=cb-,2024-08-04 14:00:00+00:00,Four questions ahead of U.S. men's basketball quarterfinal vs. Brazil,NBC Olympics,4
What will the Jazz do about Lauri Markkanen's contract? Here's what to know ahead of Tuesday's key date - ESPN,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMipwFBVV95cUxPMXlJSV8xR2xPbDltUnU2ejFiQjJidWtlWHJwa0VzZ2hmMG9hMWNFUHZpY21iLV9kNjZtV0kyRmVDN2VDc04wZjNZX1JhZnBES1hzVFl0LVpSanBlVVd2M3hyVkNIVGY3Vnp4Rjh0Nm9MSTM5YWtkb2J0Z1MwSFI1U09VZUcyZlVHcFRYbzdJTDUtOWY0ampmYWRvb2RiZmhNQWZfLTRnSQ?oc%3D5&gae=cb-,2024-08-05 12:26:00+00:00,What will the Jazz do about Lauri Markkanen's contract? Here's what to know ahead of Tuesday's key date,ESPN,3
Can the Higgs Boson Shine on Broadway? - The New York Times,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMidkFVX3lxTE5oZVJ6T280anRvNVJ3XzM0NzVmSW45RzBLTjFLTEg1QXA2Y0JyY1FPRWpHUHFFMW5YVFZhUGdBMkM2S1dWbEZkcTBGaXotcHdkVjZvSXhHcDRJUmZZRk9YY1FCaEE1N1JLQ2VscUZBclpGMElhYnc?oc%3D5&gae=cb-,2024-08-05 13:14:28+00:00,Can the Higgs Boson Shine on Broadway?,The New York Times,3
NASA May Be Forced to Send Boeing's Busted Spacecraft Back Empty - Futurism,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMif0FVX3lxTE54cnV4d25IRk1hYU02elFEU1EtcGxPMGxfTU9iNjFCYVZsSU5ibkNDdW96ZXFCYWFnb3pnNjRJOEp3TUxXX0J4U0ZEN2NKOFNwUHBmMEVmRlVUYjJmMDJmSWE1UWl5MjN4SWxXcXlMc3Fwa1RPaHdrMHdQUVV5NXc?oc%3D5&gae=cb-,2024-08-05 14:01:08+00:00,NASA May Be Forced to Send Boeing's Busted Spacecraft Back Empty,Futurism,1
Cygnus spacecraft suffers glitches after launch - SpaceNews,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiekFVX3lxTE5oYjhGLVhIUUdhS0Fpek44MXBfUHYtTjZFa2FBLURCV2pFNFFaRk1vTC1XTlV0NXJtbzByS2tmM1RUMmxEeUI1V2NyUkgySnlFV1dRb0lQQURaal8zVzk3TFFrVXF1YU14NFNQdDhtWUFvN19zYVRxcWFn?oc%3D5&gae=cb-,2024-08-04 21:23:12+00:00,Cygnus spacecraft suffers glitches after launch,SpaceNews,2
It’s Lights Out at a Cosmic Restaurant - The New York Times,https://accounts.google.com/ServiceLogin?hl=en-US&continue=https://news.google.com/rss/articles/CBMiigFBVV95cUxOLU9DSUJuODRUWmJTeFVSVHNnbGJzR0dmQTFFRTlVTUkxbUN0TnlPM0p2MTdybTFfLVhjLXBQbzVYdFVVRHhlbU54SlhSWndyaV9maVdNRUJDcndRdVlNRjBjMTltRmJmTGhCRDdubzFTVTk5YmJmQUdwOTBrVnhHXzJNTlAyV1dBN2c?oc%3D5&gae=cb-,2024-08-04 09:00:41+00:00,It’s Lights Out at a Cosmic Restaurant,The New York Times,4
